subjects,posBposT,posBnegT,negBposT,negBnegT,posBunknown,negBunknown
subjects_011,0.463636364,0,0,0,0.663636364,0
subjects_012,0.537037037,0,0,0,0.657407407,0.009259259
subjects_015,0.651685393,0,0,0,0.505617978,0
subjects_016,0.361111111,0.055555556,0.055555556,0.12962963,0.527777778,0.12962963
subjects_018,0.583333333,0,0,0,0.729166667,0
subjects_020,0.466666667,0,0,0,1.1,0
subjects_021,0.52688172,0.032258065,0.021505376,0.010752688,0.698924731,0.010752688
subjects_022,0.545454545,0,0,0,0.909090909,0.022727273
subjects_023,0.5625,0,0,0,1.234375,0.015625
subjects_026,0.479452055,0,0.04109589,0,0.863013699,0
subjects_028,0.580645161,0,0,0,0.693548387,0
subjects_029,0.709302326,0,0,0,0.604651163,0
subjects_030,0.527472527,0,0,0,0.868131868,0
subjects_031,0.413793103,0,0,0,1,0.034482759
subjects_032,0.540983607,0.016393443,0.024590164,0,0.803278689,0.024590164
subjects_034,0.632653061,0,0.020408163,0,0.693877551,0.020408163
subjects_036,0.28,0,0.16,0,1.14,0
subjects_037,0.594059406,0,0,0,0.693069307,0
subjects_038,0.483870968,0,0,0,0.919354839,0
subjects_039,0.573333333,0,0.026666667,0,0.666666667,0
subjects_041,0.509803922,0,0,0,0.784313725,0
subjects_043,0.691176471,0,0,0,0.617647059,0
subjects_044,0.466666667,0,0.011111111,0,0.922222222,0.077777778
subjects_048,0.423423423,0.036036036,0.072072072,0.036036036,0.846846847,0.009009009
subjects_050,0.663793103,0,0.017241379,0,0.603448276,0
subjects_057,0.447761194,0,0.014925373,0,1,0
subjects_059,0.563636364,0,0,0,0.909090909,0
subjects_063,0.514285714,0,0.014285714,0,1.085714286,0
subjects_066,0.424242424,0,0,0,1.136363636,0
subjects_067,0.380952381,0,0,0,0.968253968,0
subjects_069,0.620155039,0,0,0,0.651162791,0
subjects_070,0.536842105,0,0,0,0.8,0
subjects_082,0.637254902,0,0,0,0.578431373,0
subjects_083,0.538461538,0,0.057692308,0,0.682692308,0
subjects_085,0.56043956,0,0,0,0.846153846,0
subjects_100,0.5,0,0.022222222,0,0.677777778,0
subjects_105,0.19047619,0,0.238095238,0,1.571428571,0
subjects_109,0.544444444,0,0.066666667,0,0.533333333,0
subjects_113,0.633333333,0,0,0,0.9,0
subjects_118,0.480769231,0,0,0,0.942307692,0
subjects_119,0.436363636,0,0,0,1.272727273,0
subjects_121,0.508196721,0,0,0,0.852459016,0.06557377
subjects_126,0.5,0,0,0,1.257575758,0
subjects_132,0.542372881,0,0,0,0.796610169,0
subjects_133,0.340425532,0.042553191,0.170212766,0,0.978723404,0.021276596
subjects_148,0.52173913,0,0.02173913,0,0.97826087,0.02173913
subjects_149,0.602040816,0,0,0,0.734693878,0
subjects_152,0.585858586,0,0,0,0.797979798,0
subjects_161,0.575757576,0,0.060606061,0,1.045454545,0
subjects_166,0.32183908,0,0.126436782,0,0.83908046,0.057471264
subjects_169,0.504273504,0,0.042735043,0.008547009,0.683760684,0.017094017
subjects_170,0.549295775,0,0,0,0.845070423,0
subjects_177,0.341666667,0.1,0.041666667,0.141666667,0.683333333,0.016666667
subjects_178,0.601694915,0,0,0,0.779661017,0
subjects_180,0.52173913,0,0,0,1.02173913,0
subjects_181,0.46875,0,0,0,1.46875,0.0625
subjects_186,0.581818182,0,0,0,0.781818182,0
subjects_191,0.517857143,0,0.017857143,0,0.875,0
subjects_199,0.602941176,0,0,0,0.808823529,0
subjects_203,0.317307692,0.009615385,0.105769231,0.057692308,1,0.057692308
subjects_204,0.505747126,0,0.022988506,0,0.816091954,0.011494253
subjects_209,0.467741935,0,0,0,0.919354839,0
subjects_210,0.467889908,0,0.018348624,0,0.770642202,0.064220183
subjects_211,0.591549296,0,0,0,0.802816901,0
subjects_214,0.535714286,0,0,0,0.80952381,0
subjects_215,0.177777778,0,0.044444444,0,1.244444444,0.022222222
subjects_217,0.481481481,0,0,0,1.111111111,0.111111111
subjects_219,0.432989691,0,0.06185567,0,1.06185567,0
subjects_225,0.468085106,0.021276596,0.042553191,0,0.936170213,0.021276596
subjects_226,0.517857143,0,0,0,0.803571429,0
subjects_227,0.611570248,0,0,0,0.661157025,0
subjects_236,0.448275862,0.051724138,0,0,0.948275862,0.051724138
subjects_238,0.646341463,0,0,0,0.792682927,0
subjects_239,0.633333333,0,0,0,0.766666667,0
subjects_240,0.409090909,0,0.009090909,0,0.818181818,0.036363636
subjects_244,0.545454545,0,0,0,0.61038961,0
subjects_250,0.411764706,0,0,0,1.102941176,0
subjects_251,0.522727273,0,0,0,1.159090909,0
subjects_254,0.404255319,0,0,0,1.063829787,0
subjects_256,0.493333333,0,0,0,0.92,0.026666667
subjects_258,0.552238806,0,0,0,0.940298507,0.029850746
subjects_262,0.507692308,0,0,0,0.846153846,0
subjects_263,0.642857143,0,0.030612245,0,0.612244898,0
subjects_267,0.333333333,0,0.104166667,0,1.020833333,0
subjects_272,0.488372093,0.023255814,0.011627907,0,0.697674419,0.069767442
subjects_273,0.586666667,0,0.013333333,0,0.773333333,0
subjects_277,0.637362637,0,0,0,0.791208791,0
subjects_282,0.514563107,0,0.019417476,0,0.825242718,0.009708738
subjects_283,0.486842105,0,0.026315789,0,0.960526316,0.013157895
subjects_284,0.481927711,0,0,0,0.939759036,0
subjects_285,0.428571429,0,0.031746032,0,0.873015873,0.015873016
subjects_286,0.542553191,0.010638298,0,0,0.723404255,0.010638298
subjects_292,0.456521739,0,0,0,1.108695652,0
subjects_293,0.166666667,0,0.25,0,2.416666667,0
subjects_294,0.635416667,0,0,0,0.666666667,0
subjects_297,0.420454545,0,0.011363636,0,0.897727273,0.022727273
subjects_299,0.423076923,0,0.038461538,0,0.884615385,0
subjects_304,0.50877193,0,0,0,0.929824561,0.035087719
subjects_306,0.545454545,0,0,0,0.606060606,0.03030303
subjects_307,0.509090909,0,0.036363636,0,0.981818182,0.036363636
subjects_309,0.529411765,0,0.011764706,0,0.870588235,0
