subjectCode,subjects,posBposT,posBunknown,negBunknown,posBnegT,negBposT,negBnegT
subjects_011,subjects_011,0.463636364,0.663636364,0,0,0,0
subjects_012,subjects_012,0.537037037,0.657407407,0.009259259,0,0,0
subjects_015,subjects_015,0.651685393,0.505617978,0,0,0,0
subjects_016,subjects_016,0.361111111,0.527777778,0.12962963,0.055555556,0.055555556,0.12962963
subjects_018,subjects_018,0.583333333,0.729166667,0,0,0,0
subjects_020,subjects_020,0.466666667,1.1,0,0,0,0
subjects_021,subjects_021,0.52688172,0.698924731,0.010752688,0.032258065,0.021505376,0.010752688
subjects_022,subjects_022,0.545454545,0.909090909,0.022727273,0,0,0
subjects_023,subjects_023,0.5625,1.234375,0.015625,0,0,0
subjects_026,subjects_026,0.479452055,0.863013699,0,0,0.04109589,0
subjects_028,subjects_028,0.580645161,0.693548387,0,0,0,0
subjects_029,subjects_029,0.709302326,0.604651163,0,0,0,0
subjects_030,subjects_030,0.527472527,0.868131868,0,0,0,0
subjects_031,subjects_031,0.413793103,1,0.034482759,0,0,0
subjects_032,subjects_032,0.540983607,0.803278689,0.024590164,0.016393443,0.024590164,0
subjects_034,subjects_034,0.632653061,0.693877551,0.020408163,0,0.020408163,0
subjects_036,subjects_036,0.28,1.14,0,0,0.16,0
subjects_037,subjects_037,0.594059406,0.693069307,0,0,0,0
subjects_038,subjects_038,0.483870968,0.919354839,0,0,0,0
subjects_039,subjects_039,0.573333333,0.666666667,0,0,0.026666667,0
subjects_041,subjects_041,0.509803922,0.784313725,0,0,0,0
subjects_043,subjects_043,0.691176471,0.617647059,0,0,0,0
subjects_044,subjects_044,0.466666667,0.922222222,0.077777778,0,0.011111111,0
subjects_048,subjects_048,0.423423423,0.846846847,0.009009009,0.036036036,0.072072072,0.036036036
subjects_050,subjects_050,0.663793103,0.603448276,0,0,0.017241379,0
subjects_057,subjects_057,0.447761194,1,0,0,0.014925373,0
subjects_059,subjects_059,0.563636364,0.909090909,0,0,0,0
subjects_063,subjects_063,0.514285714,1.085714286,0,0,0.014285714,0
subjects_066,subjects_066,0.424242424,1.136363636,0,0,0,0
subjects_067,subjects_067,0.380952381,0.968253968,0,0,0,0
subjects_069,subjects_069,0.620155039,0.651162791,0,0,0,0
subjects_070,subjects_070,0.536842105,0.8,0,0,0,0
subjects_082,subjects_082,0.637254902,0.578431373,0,0,0,0
subjects_083,subjects_083,0.538461538,0.682692308,0,0,0.057692308,0
subjects_085,subjects_085,0.56043956,0.846153846,0,0,0,0
subjects_088,subjects_100,0.5,0.677777778,0,0,0.022222222,0
subjects_100,subjects_105,0.19047619,1.571428571,0,0,0.238095238,0
subjects_105,subjects_109,0.544444444,0.533333333,0,0,0.066666667,0
subjects_109,subjects_113,0.633333333,0.9,0,0,0,0
subjects_113,subjects_118,0.480769231,0.942307692,0,0,0,0
subjects_118,subjects_119,0.436363636,1.272727273,0,0,0,0
subjects_119,subjects_121,0.508196721,0.852459016,0.06557377,0,0,0
subjects_121,subjects_126,0.5,1.257575758,0,0,0,0
subjects_126,subjects_132,0.542372881,0.796610169,0,0,0,0
subjects_132,subjects_133,0.340425532,0.978723404,0.021276596,0.042553191,0.170212766,0
subjects_133,subjects_148,0.52173913,0.97826087,0.02173913,0,0.02173913,0
subjects_148,subjects_149,0.602040816,0.734693878,0,0,0,0
subjects_149,subjects_152,0.585858586,0.797979798,0,0,0,0
subjects_152,subjects_161,0.575757576,1.045454545,0,0,0.060606061,0
subjects_161,subjects_166,0.32183908,0.83908046,0.057471264,0,0.126436782,0
subjects_166,subjects_169,0.504273504,0.683760684,0.017094017,0,0.042735043,0.008547009
subjects_169,subjects_170,0.549295775,0.845070423,0,0,0,0
subjects_170,subjects_178,0.601694915,0.779661017,0,0,0,0
subjects_177,subjects_180,0.52173913,1.02173913,0,0,0,0
subjects_178,subjects_181,0.46875,1.46875,0.0625,0,0,0
subjects_180,subjects_186,0.581818182,0.781818182,0,0,0,0
subjects_181,subjects_191,0.517857143,0.875,0,0,0.017857143,0
subjects_186,subjects_199,0.602941176,0.808823529,0,0,0,0
subjects_191,subjects_203,0.317307692,1,0.057692308,0.009615385,0.105769231,0.057692308
subjects_199,subjects_204,0.505747126,0.816091954,0.011494253,0,0.022988506,0
subjects_203,subjects_209,0.467741935,0.919354839,0,0,0,0
subjects_204,subjects_210,0.467889908,0.770642202,0.064220183,0,0.018348624,0
subjects_209,subjects_211,0.591549296,0.802816901,0,0,0,0
subjects_210,subjects_214,0.535714286,0.80952381,0,0,0,0
subjects_211,subjects_215,0.177777778,1.244444444,0.022222222,0,0.044444444,0
subjects_214,subjects_217,0.481481481,1.111111111,0.111111111,0,0,0
subjects_215,subjects_219,0.432989691,1.06185567,0,0,0.06185567,0
subjects_217,subjects_225,0.468085106,0.936170213,0.021276596,0.021276596,0.042553191,0
subjects_219,subjects_226,0.517857143,0.803571429,0,0,0,0
subjects_225,subjects_227,0.611570248,0.661157025,0,0,0,0
subjects_226,subjects_236,0.448275862,0.948275862,0.051724138,0.051724138,0,0
subjects_227,subjects_238,0.646341463,0.792682927,0,0,0,0
subjects_236,subjects_239,0.633333333,0.766666667,0,0,0,0
subjects_238,subjects_240,0.409090909,0.818181818,0.036363636,0,0.009090909,0
subjects_239,subjects_244,0.545454545,0.61038961,0,0,0,0
subjects_240,subjects_250,0.411764706,1.102941176,0,0,0,0
subjects_244,subjects_251,0.522727273,1.159090909,0,0,0,0
subjects_250,subjects_254,0.404255319,1.063829787,0,0,0,0
subjects_251,subjects_256,0.493333333,0.92,0.026666667,0,0,0
subjects_253,subjects_258,0.552238806,0.940298507,0.029850746,0,0,0
subjects_254,subjects_262,0.507692308,0.846153846,0,0,0,0
subjects_256,subjects_263,0.642857143,0.612244898,0,0,0.030612245,0
subjects_258,subjects_267,0.333333333,1.020833333,0,0,0.104166667,0
subjects_262,subjects_272,0.488372093,0.697674419,0.069767442,0.023255814,0.011627907,0
subjects_263,subjects_273,0.586666667,0.773333333,0,0,0.013333333,0
subjects_267,subjects_277,0.637362637,0.791208791,0,0,0,0
subjects_272,subjects_282,0.514563107,0.825242718,0.009708738,0,0.019417476,0
subjects_273,subjects_283,0.486842105,0.960526316,0.013157895,0,0.026315789,0
subjects_277,subjects_284,0.481927711,0.939759036,0,0,0,0
subjects_279,subjects_285,0.428571429,0.873015873,0.015873016,0,0.031746032,0
subjects_282,subjects_286,0.542553191,0.723404255,0.010638298,0.010638298,0,0
subjects_283,subjects_292,0.456521739,1.108695652,0,0,0,0
subjects_284,subjects_293,0.166666667,2.416666667,0,0,0.25,0
subjects_285,subjects_294,0.635416667,0.666666667,0,0,0,0
subjects_286,subjects_297,0.420454545,0.897727273,0.022727273,0,0.011363636,0
subjects_292,subjects_299,0.423076923,0.884615385,0,0,0.038461538,0
subjects_293,subjects_304,0.50877193,0.929824561,0.035087719,0,0,0
subjects_294,subjects_306,0.545454545,0.606060606,0.03030303,0,0,0
subjects_297,subjects_307,0.509090909,0.981818182,0.036363636,0,0.036363636,0
subjects_299,subjects_309,0.529411765,0.870588235,0,0,0.011764706,0
subjects_304,,,,,,,
subjects_306,,,,,,,
subjects_307,,,,,,,
subjects_309,,,,,,,
