subjectCode,child neutral affect,cleanup not requested,mother positive affect,no child independent clean up,v direct concrete inst,p touching toys for cleanup,v small mission steps,no compliance - Passive,p signal const,yes compliance,v positive feedback,p positive feedback,v signal const,v perspective/mirroring,p mother cleanup,v concern,p concern exp,child positive affect,v choice,p gentle touch for clean up,v rational,p affection expression,v motivation arousal,v unclear,v inadequate perspective/invalidation,v action oriented feedback,v affection,v hostility,no compliance - Defiance,p modeling,v modeling,p forceful touch for cleanup,child negative affect,no compliance - Refusal,child alert,no inadequate boundaries setting,indecisive expectations setting,legitimazinig expectation violation,v glorificaion feedback,v negative cr,yes child independent clean up,v threat punishment,p motivational arrousal,child tired,v material reward,v negative feedback,unclear compiance
subjects_011,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.01818181818181818,0.21818181818181817,0.21818181818181817,0.0,0.22727272727272727,0.0,0.16363636363636364,0.01818181818181818,0.01818181818181818,0.02727272727272727,0.02727272727272727,0.01818181818181818,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_012,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.05555555555555555,0.12037037037037036,0.18518518518518517,0.0,0.16666666666666666,0.0,0.16666666666666666,0.009259259259259259,0.046296296296296294,0.046296296296296294,0.07407407407407407,0.009259259259259259,0.009259259259259259,0.0,0.009259259259259259,0.037037037037037035,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_015,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.033707865168539325,0.11235955056179775,0.14606741573033707,0.0,0.10112359550561797,0.0,0.23595505617977527,0.0,0.12359550561797752,0.011235955056179775,0.07865168539325842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449438202247191,0.011235955056179775,0.02247191011235955,0.033707865168539325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_016,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.046296296296296294,0.09259259259259259,0.2222222222222222,0.0,0.1574074074074074,0.0,0.12037037037037036,0.0,0.018518518518518517,0.05555555555555555,0.027777777777777776,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.009259259259259259,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.009259259259259259,0.0,0.027777777777777776,0.018518518518518517,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_018,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.08333333333333333,0.125,0.0,0.041666666666666664,0.0,0.125,0.0,0.10416666666666667,0.020833333333333332,0.125,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.125,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_020,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_021,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.11827956989247312,0.15053763440860216,0.11827956989247312,0.0,0.10752688172043011,0.0,0.12903225806451613,0.0,0.03225806451612903,0.010752688172043012,0.06451612903225806,0.010752688172043012,0.021505376344086023,0.0,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.0,0.043010752688172046,0.0,0.043010752688172046,0.010752688172043012,0.010752688172043012,0.03225806451612903,0.0,0.010752688172043012,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_022,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.11363636363636363,0.11363636363636363,0.06818181818181818,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.06818181818181818,0.045454545454545456,0.09090909090909091,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_023,0.015625,0.015625,0.015625,0.015625,0.140625,0.171875,0.0625,0.0,0.109375,0.0,0.0,0.0,0.015625,0.15625,0.03125,0.0,0.0,0.0,0.078125,0.015625,0.015625,0.015625,0.0,0.0,0.03125,0.0,0.015625,0.0,0.0,0.03125,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_026,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.1232876712328767,0.0410958904109589,0.1780821917808219,0.0,0.1780821917808219,0.0,0.0547945205479452,0.0,0.0136986301369863,0.0273972602739726,0.1643835616438356,0.0,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0,0.0958904109589041,0.0,0.0,0.0136986301369863,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_028,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.0967741935483871,0.08064516129032258,0.0967741935483871,0.0,0.11290322580645161,0.0,0.08064516129032258,0.0,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.056451612903225805,0.008064516129032258,0.0,0.008064516129032258,0.016129032258064516,0.0,0.008064516129032258,0.0,0.008064516129032258,0.0,0.0,0.06451612903225806,0.016129032258064516,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.008064516129032258,0.11290322580645161,0.08064516129032258,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_029,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.06976744186046512,0.09302325581395349,0.313953488372093,0.0,0.08139534883720931,0.0,0.20930232558139536,0.0,0.011627906976744186,0.03488372093023256,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_030,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.12087912087912088,0.16483516483516483,0.2087912087912088,0.0,0.13186813186813187,0.0,0.06593406593406594,0.0,0.01098901098901099,0.04395604395604396,0.03296703296703297,0.02197802197802198,0.01098901098901099,0.0,0.0,0.03296703296703297,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.02197802197802198,0.02197802197802198,0.0,0.0,0.0,0.01098901098901099,0.02197802197802198,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_031,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.034482758620689655,0.22413793103448276,0.0,0.2413793103448276,0.0,0.10344827586206896,0.0,0.0,0.0,0.10344827586206896,0.017241379310344827,0.0,0.0,0.0,0.034482758620689655,0.0,0.017241379310344827,0.0,0.0,0.017241379310344827,0.0,0.034482758620689655,0.0,0.0,0.05172413793103448,0.0,0.0,0.0,0.0,0.017241379310344827,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_032,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.09016393442622951,0.12295081967213115,0.18032786885245902,0.0,0.09836065573770492,0.0,0.07377049180327869,0.0,0.02459016393442623,0.03278688524590164,0.08196721311475409,0.0,0.0,0.0,0.0,0.04918032786885246,0.01639344262295082,0.00819672131147541,0.00819672131147541,0.0,0.040983606557377046,0.0,0.07377049180327869,0.02459016393442623,0.0,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.01639344262295082,0.0,0.00819672131147541,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_034,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.12244897959183673,0.08163265306122448,0.2857142857142857,0.0,0.08163265306122448,0.0,0.12244897959183673,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_036,0.02,0.02,0.02,0.02,0.12,0.1,0.12,0.0,0.04,0.0,0.02,0.0,0.04,0.0,0.12,0.04,0.04,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.08,0.04,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_037,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0594059405940594,0.06930693069306931,0.22772277227722773,0.0,0.09900990099009901,0.0,0.13861386138613863,0.039603960396039604,0.0,0.0891089108910891,0.0297029702970297,0.0,0.0,0.0,0.0,0.009900990099009901,0.009900990099009901,0.0594059405940594,0.0,0.0,0.0,0.0,0.039603960396039604,0.0,0.0,0.039603960396039604,0.0297029702970297,0.0,0.0,0.0,0.009900990099009901,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_038,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.08064516129032258,0.16129032258064516,0.1774193548387097,0.0,0.12903225806451613,0.0,0.08064516129032258,0.0,0.03225806451612903,0.06451612903225806,0.11290322580645161,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_039,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.08,0.13333333333333333,0.24,0.0,0.14666666666666667,0.0,0.04,0.02666666666666667,0.0,0.06666666666666667,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.05333333333333334,0.0,0.05333333333333334,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.02666666666666667,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_041,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.1568627450980392,0.21568627450980393,0.0,0.17647058823529413,0.0,0.13725490196078433,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.058823529411764705,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_043,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.04411764705882353,0.07352941176470588,0.20588235294117646,0.0,0.08823529411764706,0.0,0.16176470588235295,0.0,0.0,0.14705882352941177,0.0,0.029411764705882353,0.0,0.0,0.0,0.058823529411764705,0.029411764705882353,0.0,0.058823529411764705,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_044,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.044444444444444446,0.14444444444444443,0.2222222222222222,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.011111111111111112,0.011111111111111112,0.05555555555555555,0.022222222222222223,0.0,0.0,0.0,0.07777777777777778,0.011111111111111112,0.011111111111111112,0.0,0.0,0.022222222222222223,0.0,0.03333333333333333,0.0,0.0,0.05555555555555555,0.044444444444444446,0.0,0.0,0.0,0.011111111111111112,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_048,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.08108108108108109,0.05405405405405406,0.15315315315315314,0.0,0.17117117117117117,0.0,0.05405405405405406,0.0,0.07207207207207207,0.018018018018018018,0.036036036036036036,0.0,0.0,0.0,0.0,0.02702702702702703,0.036036036036036036,0.0,0.009009009009009009,0.0,0.009009009009009009,0.0,0.018018018018018018,0.009009009009009009,0.0,0.02702702702702703,0.02702702702702703,0.009009009009009009,0.0,0.0,0.009009009009009009,0.06306306306306306,0.018018018018018018,0.036036036036036036,0.009009009009009009,0.009009009009009009,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0
subjects_050,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.06896551724137931,0.11206896551724138,0.28448275862068967,0.0,0.10344827586206896,0.0,0.19827586206896552,0.0,0.0,0.02586206896551724,0.02586206896551724,0.008620689655172414,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.05172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.017241379310344827,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_057,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.11940298507462686,0.11940298507462686,0.13432835820895522,0.0,0.14925373134328357,0.0,0.04477611940298507,0.014925373134328358,0.029850746268656716,0.014925373134328358,0.11940298507462686,0.0,0.0,0.0,0.0,0.014925373134328358,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.05970149253731343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.04477611940298507,0.0,0.029850746268656716,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_059,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.07272727272727272,0.05454545454545454,0.09090909090909091,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.07272727272727272,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.03636363636363636,0.0,0.0,0.0,0.0,0.09090909090909091,0.01818181818181818,0.0,0.01818181818181818,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.12727272727272726,0.05454545454545454,0.05454545454545454,0.0,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_063,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.07142857142857142,0.04285714285714286,0.07142857142857142,0.0,0.1,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.0,0.0,0.0,0.0,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.014285714285714285,0.11428571428571428,0.07142857142857142,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0
subjects_066,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.045454545454545456,0.18181818181818182,0.18181818181818182,0.0,0.13636363636363635,0.0,0.09090909090909091,0.0,0.0,0.030303030303030304,0.07575757575757576,0.030303030303030304,0.0,0.0,0.0,0.06060606060606061,0.030303030303030304,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.030303030303030304,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_067,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.047619047619047616,0.19047619047619047,0.15873015873015872,0.0,0.14285714285714285,0.0,0.07936507936507936,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.07936507936507936,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.031746031746031744,0.031746031746031744,0.015873015873015872,0.0,0.0,0.015873015873015872,0.031746031746031744,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_069,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.06201550387596899,0.13178294573643412,0.20155038759689922,0.0,0.17054263565891473,0.0,0.13953488372093023,0.015503875968992248,0.03875968992248062,0.08527131782945736,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.007751937984496124,0.015503875968992248,0.0,0.0,0.0,0.06201550387596899,0.0,0.0,0.007751937984496124,0.007751937984496124,0.0,0.0,0.0,0.007751937984496124,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_070,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.031578947368421054,0.12631578947368421,0.23157894736842105,0.0,0.18947368421052632,0.0,0.1368421052631579,0.010526315789473684,0.0,0.06315789473684211,0.06315789473684211,0.021052631578947368,0.0,0.0,0.0,0.0,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.0,0.0,0.0,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subjects_082,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.08823529411764706,0.049019607843137254,0.20588235294117646,0.0,0.17647058823529413,0.0,0.12745098039215685,0.00980392156862745,0.08823529411764706,0.0392156862745098,0.0196078431372549,0.0,0.0,0.0,0.0,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.0,0.0,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.0,0.0,0.029411764705882353,0.0196078431372549,0.0,0.0,0.0,0.00980392156862745,0.00980392156862745,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.0
